################################### RECORDED ###################################
# Collectl:   V3.1.2-2  HiRes: 1  Options: -scdE -i1::1 -c100 -f.  Subsys: cdE
################################################################################
# Collectl:   V3.1.2-2  HiRes: 1  Options: -C. -p /tmp/hadesn2-20081204-061631.raw.gz -P -ocz -f /home/mjs/collectl-utils/plotfiles 
# Host:       hadesn2  DaemonOpts: 
# Distro:     Red Hat Enterprise Linux Server release 5.1 (Tikanga)
# Date:       20081204-061631  Secs: 1228389391 TZ: -0500
# SubSys:     cdE SubOpts:  Options: cz NfsOpts:  Interval: 1::1 NumCPUs: 8  Flags: 
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:         Speed(MHz):  Cores:   Siblings: 
# Kernel:     2.6.18-53.el5  Memory: 16438976  Swap: 
# NumDisks:   2 DiskNames: c0d0 c0d1
# NumNets:    6 NetNames: lo: eth0:1000 eth1:1000 sit0: ib0:20000 ib1:20000
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20081204 06:17:05 0 0 0 0 0 0 0 100 0 1011 2045 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:06 0 0 0 0 0 0 0 100 0 1008 2034 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:07 0 0 0 0 0 0 0 100 0 1017 2082 1 208 0 0 0 0 0 2 2 0 64 64 0 14 14
20081204 06:17:08 0 0 0 0 0 0 0 100 0 1012 2053 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:09 0 0 0 0 0 0 0 100 0 1012 2058 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:10 0 0 0 0 0 0 0 100 0 1008 2022 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:11 0 0 0 0 0 0 0 100 0 1018 2085 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:12 0 0 0 0 0 0 0 100 0 1022 2111 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:13 0 0 0 0 0 0 0 100 0 1010 2053 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:14 0 0 0 0 0 0 0 100 0 1118 2049 1 208 0 0 0 0 0 105 105 0 628 628 0 52 52
20081204 06:17:15 0 0 0 0 0 0 0 100 0 1022 2054 2 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:16 0 0 0 0 0 0 0 100 0 1013 2072 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:17 0 0 0 0 0 0 0 100 0 1016 2070 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:18 0 0 0 0 0 0 0 100 0 1021 2036 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:19 0 0 0 0 0 0 0 100 0 1020 2036 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:20 0 0 0 0 0 0 0 100 0 1015 2070 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:21 0 0 0 0 0 0 0 100 0 1013 2069 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:22 0 0 0 0 0 0 0 100 0 1023 2051 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:23 0 0 0 0 0 0 0 100 0 1014 2041 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:24 0 0 0 0 0 0 0 100 0 1022 2043 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:25 0 0 0 0 0 0 0 100 0 1015 2074 1 208 1 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:26 0 0 0 0 0 0 0 100 0 1014 2053 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:27 0 0 0 0 0 0 0 100 0 1013 2058 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:28 0 0 0 0 0 0 0 100 0 1013 2034 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:29 0 0 0 0 0 0 0 100 0 1023 2086 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:30 0 0 0 0 0 0 0 100 0 1013 2068 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:31 0 0 0 0 0 0 0 100 0 1010 2053 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:32 0 0 0 0 0 0 0 100 0 1017 2055 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:33 0 0 0 0 0 0 0 100 0 1015 2041 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:34 0 0 0 0 0 0 0 100 0 1016 2079 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:35 0 0 0 0 0 0 0 100 0 1009 2059 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:36 0 0 0 0 0 0 0 100 0 1009 2046 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:37 0 0 0 0 0 0 0 100 0 1022 2071 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:38 0 0 0 0 0 0 0 100 0 1016 2073 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:39 0 0 0 0 0 0 0 100 0 1030 2080 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:40 0 0 0 0 0 0 0 100 0 1011 2044 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:41 0 0 0 0 0 0 0 100 0 1013 2055 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:42 0 0 0 0 0 0 0 100 0 1026 2053 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:43 0 0 0 0 0 0 0 100 0 1016 2077 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:44 0 0 0 0 0 0 0 100 0 1014 2062 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:45 0 0 0 0 0 0 0 100 0 1012 2062 1 208 0 0 0 0 0 3 3 0 36 36 0 6 6
20081204 06:17:46 0 0 0 0 0 0 0 100 0 1012 2032 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:47 0 0 0 0 0 0 0 100 0 1010 2084 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:48 0 0 0 0 0 0 0 100 0 1009 2070 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:49 0 0 0 0 0 0 0 100 0 1007 2053 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
